name,id,Happiness,rank
Norway,1,7.54,1
Denmark,2,7.52,2
Iceland,3,7.5,3
Switzerland,4,7.49,4
Finland,5,7.47,5
Netherlands,6,7.38,6
Canada,7,7.32,7
New Zealand,8,7.31,8
Sweden,9,7.28,9
Australia,10,7.28,10
Israel,11,7.21,11
Costa Rica,12,7.08,12
Austria,13,7.01,13
USA,14,6.99,14
Ireland,15,6.98,15
Germany,16,6.95,16
Belgium,17,6.89,17
Luxembourg,18,6.86,18
England,19,6.71,19
Chile,20,6.65,20
United Arab Emirates,21,6.65,21
Brazil,22,6.64,22
Czech Republic,23,6.61,23
Argentina,24,6.6,24
Mexico,25,6.58,25
Singapore,26,6.57,26
Malta,27,6.53,27
Uruguay,28,6.45,28
Guatemala,29,6.45,29
Panama,30,6.45,30
France,31,6.44,31
Thailand,32,6.42,32
Taiwan Province of China,33,6.42,33
Spain,34,6.4,34
Qatar,35,6.38,35
Colombia,36,6.36,36
Saudi Arabia,37,6.34,37
Trinidad and Tobago,38,6.17,38
Kuwait,39,6.11,39
Slovakia,40,6.1,40
Bahrain,41,6.09,41
Malaysia,42,6.08,42
Nicaragua,43,6.07,43
Ecuador,44,6.01,44
El Salvador,45,6,45
Poland,46,5.97,46
Uzbekistan,47,5.97,47
Italy,48,5.96,48
Russia,49,5.96,49
Belize,50,5.96,50
Japan,51,5.92,51
Lithuania,52,5.9,52
Algeria,53,5.87,53
Latvia,54,5.85,54
South Korea,55,5.84,55
Moldova,56,5.84,56
Romania,57,5.82,57
Bolivia,58,5.82,58
Turkmenistan,59,5.82,59
Kazakhstan,60,5.82,60
North Cyprus,61,5.81,61
Slovenia,62,5.76,62
Peru,63,5.72,63
Mauritius,64,5.63,64
Cyprus,65,5.62,65
Estonia,66,5.61,66
Belarus,67,5.57,67
Libya,68,5.53,68
Turkey,69,5.5,69
Paraguay,70,5.49,70
"Hong Kong S.A.R., China",71,5.47,71
Philippines,72,5.43,72
Serbia,73,5.39,73
Jordan,74,5.34,74
Hungary,75,5.32,75
Jamaica,76,5.31,76
Croatia,77,5.29,77
Kosovo,78,5.28,78
China,79,5.27,79
Pakistan,80,5.27,80
Indonesia,81,5.26,81
Venezuela,82,5.25,82
Montenegro,83,5.24,83
Morocco,84,5.24,84
Azerbaijan,85,5.23,85
Dominican Republic,86,5.23,86
Greece,87,5.23,87
Lebanon,88,5.22,88
Portugal,89,5.2,89
Bosnia and Herzegovina,90,5.18,90
Honduras,91,5.18,91
Macedonia,92,5.18,92
Somalia,93,5.15,93
Vietnam,94,5.07,94
Nigeria,95,5.07,95
Tajikistan,96,5.04,96
Bhutan,97,5.01,97
Kyrgyzstan,98,5,98
Nepal,99,4.96,99
Mongolia,100,4.95,100
South Africa,101,4.83,101
Tunisia,102,4.8,102
Palestinian Territories,103,4.78,103
Egypt,104,4.74,104
Bulgaria,105,4.71,105
Sierra Leone,106,4.71,106
Cameroon,107,4.7,107
Iran,108,4.69,108
Albania,109,4.64,109
Bangladesh,110,4.61,110
Namibia,111,4.57,111
Kenya,112,4.55,112
Mozambique,113,4.55,113
Myanmar,114,4.55,114
Senegal,115,4.53,115
Zambia,116,4.51,116
Iraq,117,4.5,117
Gabon,118,4.47,118
Ethiopia,119,4.46,119
Sri Lanka,120,4.44,120
Armenia,121,4.38,121
India,122,4.32,122
Mauritania,123,4.29,123
Congo,124,4.29,124
Georgia,125,4.29,125
CongoRepublic,126,4.28,126
Mali,127,4.19,127
Ivory Coast,128,4.18,128
Cambodia,129,4.17,129
Sudan,130,4.14,130
Ghana,131,4.12,131
Ukraine,132,4.1,132
Uganda,133,4.08,133
Burkina Faso,134,4.03,134
Niger,135,4.03,135
Malawi,136,3.97,136
Chad,137,3.94,137
Zimbabwe,138,3.88,138
Lesotho,139,3.81,139
Angola,140,3.8,140
Afghanistan,141,3.79,141
Botswana,142,3.77,142
Benin,143,3.66,143
Madagascar,144,3.64,144
Haiti,145,3.6,145
Yemen,146,3.59,146
South Sudan,147,3.59,147
Liberia,148,3.53,148
Guinea,149,3.51,149
Togo,150,3.49,150
Rwanda,151,3.47,151
Syria,152,3.46,152
Tanzania,153,3.35,153
Burundi,154,2.9,154
Central African Republic,155,2.69,155
Greenland,156,7.5,
